"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual","STATE"
1982,20.9,28.4,38.4,45.3,64.6,63.7,72.3,68.2,63.4,544,44.7,39.9,50.4,"Pennsylvania"
1983,30,32.6,40.7,47.1,55.8,67.8,73,72.8,64.4,530,43.5,25.4,50.5,"Pennsylvania"
1984,23.2,36.4,32.2,49.1,55.3,69.7,68.4,70.8,61.4,58.3,40.2,39.3,50.4,"Pennsylvania"
1985,22.1,276,42.1,55,60.5,64.2,70.5,69.6,65.2,55.1,47.1,27.4,50.5,"Pennsylvania"
1986,28.2,31.3,41.1,53.1,62,68.3,73.3,68.5,66.6,54.2,40.2,33,51.7,"Pennsylvania"
1987,28,32.5,41.8,50,63,70.9,75.7,71.8,65.1,47.7,46.2,35.1,52.3,"Pennsylvania"
1988,26.6,28.9,39.2,49.4,61.4,68.5,76.8,75,63.5,46.6,44.2,31.9,51,"Pennsylvania"
1989,35.5,27.8,41,47,58,69,74.1,71.6,64.8,53.3,40.6,19.2,50.2,"Pennsylvania"
1990,36.8,36.8,44,51.3,57.7,68.3,71.7,70.5,63.7,55,45.5,38,53.3,"Pennsylvania"
1991,29.7,35.4,43,54.5,68.7,72.6,75.4,74.4,64.6,55.7,41.6,35.3,54.2,"Pennsylvania"
1992,30.5,34.3,38.8,51.2,59.1,66,72.3,67.9,63.7,50.1,42.9,33.9,50.9,"Pennsylvania"
1993,35,27.8,37.6,50,61.8,68.9,75.7,75.3,63.3,51.7,43,31.7,51.8,"Pennsylvania"
1994,21,29.5,37.8,53.9,56.7,72.9,74.5,70,63.8,53.3,47.7,38.2,51.6,"Pennsylvania"
1995,31,26.5,42.8,48.6,60.4,71.9,75.7,77.7,64.3,56.3,38.1,27.7,51.8,"Pennsylvania"
1996,27.5,30.1,34.7,50.7,60,72.3,69.6,70.6,63.6,52,36.3,36.5,50.3,"Pennsylvania"
1997,28.1,35.1,40.5,46.4,54.2,68,71.6,68.2,62.1,52.5,39,33.5,49.9,"Pennsylvania"
1998,37,38.5,42.4,51,64.4,67.1,71.1,73,67.2,53.1,44.4,37.8,53.9,"Pennsylvania"
1999,30,33.9,35.1,51.8,61,69.4,76,69,64.2,52.3,46.7,34.5,52,"Pennsylvania"
2000,27.7,36,44.9,50.2,62.5,69.6,68.7,69,62.2,54.7,39.5,23.1,50.7,"Pennsylvania"
2001,28.4,35.1,35.3,54.3,60,68.4,70.2,73.1,62.1,54.1,48.2,37.4,52.2,"Pennsylvania"
2002,35.4,34.9,40.9,52.7,56.7,70.6,76,74,67.4,51,40.3,30.7,52.5,"Pennsylvania"
2003,21.4,26.4,40.9,53.4,59.1,65.8,71.3,72.6,63.1,50.5,46.1,32.6,50.3,"Pennsylvania"
2004,22.2,31.6,42.7,51.2,65.4,67.6,71.3,68.6,65.8,53.2,45.9,33.3,51.6,"Pennsylvania"
2005,29.7,32.4,35.2,52.3,56.2,71.7,75.1,736,67.3,53.4,44,276,51.5,"Pennsylvania"
2006,38.1,30.4,38.2,53.7,58.8,66.2,73.4,72.8,60.9,50.8,45.2,38.8,52.3,"Pennsylvania"
2007,32.5,20.8,43.3,47.5,63.7,69.5,70.5,74,66.7,59.3,41.7,34.5,52,"Pennsylvania"
2008,31.4,29.4,37,53.9,57,70,72.5,69.7,65.9,51.1,40.1,33,50.9,"Pennsylvania"
2009,22,31.2,42.3,52.1,61.2,68.2,69.4,71.8,64.9,50.6,47.2,31.1,51,"Pennsylvania"
2010,25.9,26.4,43.3,55.3,63.6,70.8,75.5,74.4,65.7,53.4,42.2,25.6,51.8,"Pennsylvania"
2011,24.1,31.8,39.2,53.3,62.9,70,76.9,72.8,65.4,52.7,46.9,37.5,52.8,"Pennsylvania"
2012,32.8,35.4,51.5,50.4,67,70.1,76.7,71.5,63.6,53.5,39.6,38.1,54.2,"Pennsylvania"
2013,31.5,28.7,35.9,52.4,62.5,69.4,73.3,70.7,64,56.3,39.4,34.1,51.5,"Pennsylvania"
2014,22.1,25.7,34.5,52.2,62,70.6,70.5,70,64.1,53.7,38.8,35.5,50,"Pennsylvania"
2015,25.3,18.3,35.8,52.9,66.1,70.4,73.3,71.3,69.6,53.9,48.5,44.5,52.5,"Pennsylvania"
2016,26.7,33.6,48,51.3,61.2,71.6,75.5,76,69.5,56.6,46.5,33.6,54.2,"Pennsylvania"
2017,34.6,40.6,39.9,57.3,60.6,69.7,73.7,70.3,66.4,58,42,30.6,53.6,"Pennsylvania"
2018,25.5,38.8,34.8,46.3,69,70.8,73.5,73,69.7,53.4,37.3,35.3,52.3,"Pennsylvania"
2019,27.5,33.7,36.7,54,64,68.3,75,71.9,69,56.2,37.7,35.4,52.5,"Pennsylvania"
1966,32.3,41.3,50.4,58.7,65.3,75.1,82.2,76.5,69.5,57,50.7,40.1,58.3,"Tennessee"
1967,42.3,37.5,57,63.9,66.2,76.3,75.7,72.5,66.8,59.3,44.3,42.5,58.7,"Tennessee"
1968,34,32.3,47.8,58.7,66.2,74.8,77.8,79.5,69.9,59.5,48.7,38.1,57.3,"Tennessee"
1969,37.2,39.8,42.5,60.9,68.9,77.2,82.7,78.1,70.7,60.6,46.4,37.3,58.5,"Tennessee"
1970,32.3,38.4,46.8,61.3,68.3,73.6,77.2,79.2,76.9,61,47.4,43.2,58.8,"Tennessee"
1971,35.6,38.6,44.6,57.9,63.2,77.5,76.8,76.4,74.4,66.7,49.9,49.2,59.2,"Tennessee"
1972,41.7,41.8,50.2,60.5,67.4,73,77.2,77.2,75.7,60.1,47.2,42.8,59.6,"Tennessee"
1973,37.9,39.7,56.7,56.4,64.1,76,78.7,78.1,76.2,66.2,54.6,40.5,60.4,"Tennessee"
1974,45.4,41.7,54.9,58.6,70,71.4,78,77.6,67.5,59.4,50,42.6,59.8,"Tennessee"
1975,43.4,44.6,47.3,58.5,70.4,76,78.4,79,67.9,62.4,52.1,42.8,60.2,"Tennessee"
1976,36.7,50.4,55.9,59.9,63.9,73.3,76.4,74.4,66.8,53.9,40.9,36.5,57.4,"Tennessee"
1977,24.5,40.6,53.8,62.9,71.9,77.1,82.2,79.5,74,57,50.8,38.5,59.4,"Tennessee"
1978,27.6,29.1,46.9,61,66.7,76.2,80.5,78.7,75.5,57.4,53.5,42.4,58,"Tennessee"
1979,29.6,33.4,50.6,57.8,66.3,73.6,77.6,77,70.4,60.3,48.6,41.5,57.2,"Tennessee"
1980,39.7,35.6,46.3,57.3,67.8,75.5,82.8,81.7,75.9,57.8,48.5,41,59.2,"Tennessee"
1981,35.4,42.6,47.5,63.9,64.2,77.5,79.8,76.6,68.1,60.4,49.9,38.3,58.7,"Tennessee"
1982,34,39.5,52.5,54.6,71,73.3,79.8,76.1,69.6,61.1,51.4,48.1,59.3,"Tennessee"
1983,38.8,42.6,50.2,54.5,64.8,75.5,80.5,83.2,73.7,62.4,49.9,33.9,59.2,"Tennessee"
1984,32.2,43.3,46.1,58.2,64.1,77.4,76,76.5,68.5,66.6,46,49.6,58.7,"Tennessee"
1985,27.8,36.4,53.1,61.9,68.4,75.7,80.2,77.2,70.7,64.4,56.9,34.2,58.9,"Tennessee"
1986,37.2,44.7,50.8,60.7,68.6,76.5,82.4,76.6,74.9,61,49.9,39.9,60.3,"Tennessee"
1987,36.1,43,51.8,57.7,73.3,77.5,80.2,81,72.1,54.6,52.4,44.1,60.3,"Tennessee"
1988,34.4,38.7,49.2,57.1,67.2,77.3,81.3,81.9,72.8,54.2,51.1,42.4,59,"Tennessee"
1989,44.8,39,52.6,59.2,65.7,74.6,79.1,77.9,70.5,61,51.4,29.5,58.8,"Tennessee"
1990,45.7,49.9,53.5,58.4,66.4,78.1,80.4,79.6,74.6,60.1,54.3,43.7,62.1,"Tennessee"
1991,39.2,43.8,52.5,63.8,74.1,78.2,81.1,78.2,72.3,61.2,47.1,44.5,61.3,"Tennessee"
1992,40,45.9,50.1,59.5,65.8,72.4,79.9,74.9,70.9,59.4,49.5,41.1,59.1,"Tennessee"
1993,41.6,39.3,47.1,56.7,67.6,75.8,83.2,81,71,58.5,47.3,40.2,59.1,"Tennessee"
1994,33.4,44,50.6,62.5,64,78,78.5,77,69.1,60.9,54.5,45.3,59.8,"Tennessee"
1995,38.6,40.3,53.4,60.9,68.4,74.7,80.8,83.2,70.7,60,44,39.5,59.5,"Tennessee"
1996,36.3,40.6,44.6,55.8,71.5,75.6,77.6,77.5,69.5,60.7,45.7,44.4,58.3,"Tennessee"
1997,37.3,45.5,53.6,54.3,63.2,72,79.7,76.8,71.8,59.8,45.5,39.5,58.2,"Tennessee"
1998,44.7,45.9,49.4,57.9,71.5,77.6,79.6,79.1,77.1,63.4,52.3,43.1,61.8,"Tennessee"
1999,42.5,45.7,45.6,62.6,67.6,76.5,81.9,79.4,71.8,59.9,54,43.6,60.9,"Tennessee"
2000,39.2,46.7,53.1,56.7,69.9,76.3,80.3,79.8,71.3,63.8,48,30.8,59.7,"Tennessee"
2001,35.3,44.6,45.3,63.7,68.8,73.4,79.8,78.8,70.1,58.5,54.3,44.9,59.8,"Tennessee"
2002,42.1,40.5,49.2,62,65.7,76.9,80.1,80,75,61.4,46.4,40.5,60,"Tennessee"
2003,32.8,38,52,61.1,67.2,71.9,78.2,79.3,70.2,60.6,53.5,40.3,58.8,"Tennessee"
2004,38.6,40.7,53.3,59.3,71.7,75.6,77.6,74.3,72.1,64.4,53.6,40,60.1,"Tennessee"
2005,43.4,44.9,47.6,59.6,66.1,76.9,81,81.8,75.1,61,51.3,37.5,60.5,"Tennessee"
2006,46.1,40.7,51.1,65.2,66.6,75.7,80.6,82.2,71.4,59.5,51.5,46.4,61.4,"Tennessee"
2007,41.7,37.1,58.2,57.4,71.1,77.9,79.9,86.9,75.8,65.4,49.8,46.3,62.3,"Tennessee"
2008,37,42.9,50.2,58.1,66.8,78,79.5,78.9,73.9,60.2,46.4,40.7,59.4,"Tennessee"
2009,35.2,43.8,52,59,67.6,78,75.7,77.1,72.3,56.9,51.3,39.3,59,"Tennessee"
2010,33,34.4,48.7,62.8,70.2,80.9,82.4,81.9,73.4,61.4,50.9,34.4,59.5,"Tennessee"
2011,34.4,43.6,51.3,62.9,67.2,78.6,82.9,80.5,69.1,58.6,52,43.8,60.4,"Tennessee"
2012,43.3,45.7,61.1,62,72.8,77,83.5,77.8,70.9,58.4,47.6,47.2,62.3,"Tennessee"
2013,42,42.4,44.9,59.2,67.4,77.1,77.8,77.9,73.1,61.8,46.3,41.3,59.3,"Tennessee"
2014,32.4,39.2,47.3,61.1,70.4,77.9,76.8,79.6,73,61.8,44.1,43.2,58.9,"Tennessee"
2015,37.6,32.5,50.6,62.1,70.9,77.9,80.8,77.2,74.1,61.9,55.7,53.1,61.2,"Tennessee"
2016,37.3,44.1,56.1,62.4,67.7,79.4,82.5,81.5,76,67.7,55.3,42.8,62.7,"Tennessee"
2017,47,51.3,53.5,65.9,69.4,762,81.4,77.7,71.8,62.6,52.1,40.3,62.4,"Tennessee"
2018,36.1,50.1,50.5,55.3,75.5,79.7,81.7,80.1,77.3,63,46.4,45,61.7,"Tennessee"
2019,40,48.9,48.9,62.1,72.7,77,81.4,80.3,80.4,63.7,46.1,48.4,62.5,"Tennessee"
1966,23.1,30.3,40.9,47.9,56,70.4,75.6,71,61.3,50.8,42.8,31.4,50.1,"Virginia"
1967,32.3,25.6,40.1,52.2,54.3,73,71.4,68.8,61.1,52.5,36.8,34.8,50.2,"Virginia"
1968,23.3,22.2,40.3,51.2,54.7,66.8,72.4,71.8,64.7,52.2,41.3,27.6,49,"Virginia"
1969,26.7,29.5,34.3,51.7,60.2,69.3,72.7,69.7,63,52.9,39.2,26.7,49.7,"Virginia"
1970,20.6,27.7,35.5,52.4,63.9,68.2,71.5,71.6,67.8,54.8,42.2,32.1,50.7,"Virginia"
1971,23.6,30.4,34.2,46,56.6,71.3,70.2,69.6,68.5,59.4,40.4,38.8,50.7,"Virginia"
1972,29.5,26.5,36.3,48.5,61.8,63.8,71.2,70.6,65.2,48.4,39.2,37.2,49.9,"Virginia"
1973,29.6,28.8,48.3,49.3,56.4,70.9,73.2,73.2,66.5,56.1,44.1,33.2,52.5,"Virginia"
1974,33.9,29.8,41.2,51.8,58.2,65.2,73.1,72.8,62.2,52.4,43.9,32.4,51.4,"Virginia"
1975,32.6,32.1,36.2,44.3,62.9,67.8,72.8,73,58.8,53.3,46.3,32.9,51.1,"Virginia"
1976,23.5,37.2,45.1,50.6,55.6,68.4,67.4,65.3,59.9,45.9,33.1,23.8,48,"Virginia"
1977,11.4,26.9,43.7,50.7,63,63.8,71.8,68.1,64.6,50.5,45.5,31.1,49.3,"Virginia"
1978,22.5,20.9,36.9,51,60.2,69.4,73,71.3,66.2,49.1,42.9,32.7,49.7,"Virginia"
1979,21.3,18,43,49.7,59,67.7,70.3,69.6,63.4,50.9,44.7,34.6,49.4,"Virginia"
1980,26.8,24.2,35.5,48.1,60.2,66.2,74.9,74.5,67.1,49.5,38.5,28.6,49.5,"Virginia"
1981,20.5,31.4,35.5,51.9,58.4,68.7,72.1,69.7,61.9,49.4,40.3,29.4,49.1,"Virginia"
1982,20.9,28.4,38.4,45.3,64.6,63.7,72.3,68.2,63.4,54.4,44.7,39.9,50.4,"Virginia"
1983,30,32.6,40.7,47.1,55.8,67.8,73,72.8,64.4,53,43.5,25.4,50.5,"Virginia"
1984,23.2,36.4,32.2,49.1,55.3,69.7,68.4,70.8,61.4,58.3,40.2,39.3,50.4,"Virginia"
1985,22.1,27.6,42.1,55,60.5,64.2,70.5,69.6,65.2,55.1,47.1,27.4,50.5,"Virginia"
1986,28.2,31.3,41.1,53.1,62,68.3,73.3,68.5,66.6,54.2,40.4,33,51.7,"Virginia"
1987,28,32.5,41.8,50,63,70.9,75.7,71.8,65.1,47.7,46.2,35.1,52.3,"Virginia"
1988,26.6,28.9,39.2,49.4,61.4,68.5,76.8,75,63.5,46.6,44.2,31.9,51,"Virginia"
1989,35.5,27.8,41,47,58,69,74.1,71.6,64.8,53.3,40.6,19.2,50.2,"Virginia"
1990,36.8,36.8,44,51.3,57.7,68.3,71.7,70.5,63.7,55,45.5,38,53.3,"Virginia"
1991,29.7,35.4,43,54.5,68.7,72.6,75.4,74.4,64.6,55.7,41.6,35.3,54.2,"Virginia"
1992,30.5,34.3,38.8,51.2,59.1,66,72.3,67.9,63.7,50.1,42.9,33.9,50.9,"Virginia"
1993,35,27.8,37.6,50,61.8,68.9,75.7,75.3,63.3,51.7,43,31.7,51.8,"Virginia"
1994,21,29.5,37.8,53.9,56.7,72.9,74.5,70,63.8,53.3,47.7,38.2,51.6,"Virginia"
1995,31,26.5,42.8,48.6,60.4,71.9,75.7,77.7,64.3,56.3,38.1,27.7,51.8,"Virginia"
1996,27.5,30.1,34.7,50.7,60,72.3,69.6,70.6,63.6,52,36.3,36.5,50.3,"Virginia"
1997,28.1,35.1,40.2,46.4,54.2,68,71.6,68.2,62.1,52.5,39,33.5,49.9,"Virginia"
1998,37,38.5,42.4,51,64.4,67.1,71.1,73,67.2,53.1,44.4,37.8,53.9,"Virginia"
1999,30,33.9,35.1,51.8,61,69.4,76,69,64.2,52.3,46.7,34.5,52,"Virginia"
2000,27.7,36,44.9,50.2,62.5,69.6,68.7,69,62.2,54.7,39.5,23.1,50.7,"Virginia"
2001,28.4,35.1,35.3,54.3,60,68.4,70.2,73.1,62.1,54.1,48.2,37.4,52.2,"Virginia"
2002,35.4,34.9,40.9,52.7,56.7,70.6,76,74,67.4,51,40.3,30.7,52.5,"Virginia"
2003,21.4,26.4,40.9,53.4,59.1,65.8,71.3,72.6,63.1,50.5,46.1,32.6,50.3,"Virginia"
2004,22.2,31.6,42.7,51.2,65.4,67.6,71.3,68.6,65.8,53.2,45.9,33.3,51.6,"Virginia"
2005,29.7,32.4,35.2,52.3,56.2,71.7,75.1,73.6,67.3,53.4,44,27.6,51.5,"Virginia"
2006,38.1,30.4,38.2,53.7,58.8,66.2,73.4,72.8,60.9,50.8,45.2,38.8,52.3,"Virginia"
2007,32.5,20.8,43.3,47.5,63.7,69.5,70.5,74,66.7,59.3,41.7,34.5,52,"Virginia"
2008,31.4,29.4,37,53.9,57,70,72.5,69.7,65.9,51.1,40.1,33,50.9,"Virginia"
2009,22,31.2,42.3,52.1,61.2,68.2,69.4,71.8,64.9,50.6,47.2,31.1,51,"Virginia"
2010,25.9,26.4,43.3,55.3,63.6,70.8,75.5,74.4,65.7,53.4,42.2,25.6,51.8,"Virginia"
2011,24.1,31.8,39.2,53.3,62.9,70,76.9,72.8,65.4,52.7,46.9,37.5,52.8,"Virginia"
2012,32.8,35.4,51.5,50.4,67,70.1,76.7,71.5,63.6,53.5,39.6,38.1,54.2,"Virginia"
2013,31.5,28.7,35.9,52.4,62.5,69.4,73.3,70.7,64,56.3,39.4,34.1,51.5,"Virginia"
2014,22.1,25.7,34.5,52.2,62,70.6,70.5,70,64.1,53.7,38.8,35.5,50,"Virginia"
2015,25.3,18.3,35.8,52.9,66.1,70.4,73.3,71.3,69.6,53.9,48.5,44.5,52.5,"Virginia"
2016,26.7,33.6,48,51.3,61.2,71.6,75.5,76,69.5,56.6,46.5,33.6,54.2,"Virginia"
2017,34.6,40.6,39.9,57.3,60.6,69.7,73.7,70.3,66.4,58,42,30.6,53.6,"Virginia"
2018,25.5,38.8,34.8,46.3,69,70.8,73.5,73,69.7,534,37.3,35.3,52.3,"Virginia"
2019,27.5,33.7,36.7,54,64,68.3,75,71.9,69,56.2,37.7,35.4,52.5,"Virginia"
